,0
0,1835
1,1956
2,1952
3,1886
4,1883
5,1876
6,1859
7,1844
8,1838
9,1823
10,1850
11,1817
12,1824
13,1835
14,1838
15,1853
16,1853
17,1862
18,1858
19,1872
20,1874
21,1883
22,1896
23,1911
24,1913
25,1906
26,1935
27,1934
28,1936
29,1944
30,1948
31,1939
32,1957
33,1954
34,1954
35,1971
36,1971
37,1960
38,1970
39,1976
40,1962
41,1978
42,1960
43,1957
44,1966
45,1966
46,1960
47,1968
48,1970
49,1956
50,1972
51,1959
52,1972
53,1978
54,1967
55,1966
56,1979
57,1968
58,1979
59,1977
60,1970
61,1975
62,1964
63,1968
64,1960
65,1971
66,1970
67,1975
68,1967
69,1960
70,1974
71,1983
72,1978
73,1974
74,1982
75,1974
76,1984
77,1984
78,1992
79,1987
80,1987
81,1992
82,1987
83,1996
84,1992
85,1994
86,1992
87,2001
88,2004
89,1998
90,2005
91,2022
92,2005
93,2007
94,2012
95,2008
96,2016
97,2024
98,2005
99,2011
100,2019
101,2015
102,2014
103,1999
104,2013
105,1999
106,2024
107,1996
108,2027
109,2011
110,2010
111,2023
112,2028
113,2045
114,2051
115,2059
116,2054
117,2056
118,2047
119,2066
120,2049
121,2041
122,2013
123,2020
124,1998
125,1990
126,1992
127,1980
128,1979
129,1985
130,1980
131,1992
132,1974
133,1987
134,1981
135,1983
136,1987
137,2040
138,2083
139,2130
140,2183
141,2325
142,2423
143,2527
144,2559
145,2523
146,2368
147,2096
148,2004
149,1901
150,1858
151,1838
152,1831
153,1853
154,1845
155,1851
156,1860
157,1872
158,1891
159,1893
160,1894
161,1919
162,1917
163,1930
164,1925
165,1943
166,1952
167,1954
168,1951
169,1960
170,1962
171,1978
172,1979
173,1973
174,1978
175,1984
176,1991
177,1983
178,1999
179,1992
180,1998
181,2006
182,1999
183,2016
184,2038
185,2006
186,2017
187,2027
188,2031
189,2051
190,2044
191,2070
192,2062
193,2055
194,2056
195,2070
196,2080
197,2078
198,2077
199,2074
200,2087
201,2102
202,2091
203,2102
204,2114
205,2116
206,2128
207,2108
208,2108
209,2102
210,2096
211,2081
212,2074
213,2082
214,2059
215,2058
216,2050
217,2027
218,2009
219,1991
220,1981
221,1949
222,1932
223,1918
224,1893
225,1885
226,1894
227,1882
228,1890
229,1865
230,1868
231,1876
232,1887
233,1884
234,1888
235,1895
236,1902
237,1898
238,1906
239,1911
240,1914
241,1922
242,1918
243,1936
244,1937
245,1944
246,1955
247,1947
248,1984
249,1950
250,1972
251,1958
252,1982
253,1971
254,1974
255,1967
256,1986
257,1979
258,1986
259,1966
260,1955
261,1976
262,1972
263,1968
264,1969
265,1967
266,1998
267,1976
268,1994
269,1982
270,1987
271,1996
272,1983
273,1974
274,1991
275,1984
276,2004
277,1982
278,2009
279,1995
280,1991
281,2000
282,1991
283,1999
284,1988
285,1999
286,1979
287,2006
288,1983
289,1995
290,1986
291,2010
292,1993
293,2000
294,1994
295,2012
296,1989
297,1993
298,1986
299,1999
300,1986
301,1995
302,1995
303,1993
304,2000
305,1997
306,1995
307,1998
308,1997
309,1998
310,1990
311,1996
312,1982
313,1995
314,2003
315,1996
316,1993
317,1989
318,2008
319,2006
320,2004
321,2000
322,2012
323,2007
324,2013
325,2004
326,2010
327,2011
328,2015
329,2015
330,2016
331,2005
332,2014
333,2008
334,1998
335,2009
336,2007
337,1835
338,1956
339,1952
340,1886
341,1883
342,1876
343,1859
344,1844
345,1838
346,1823
347,1850
348,1817
349,1824
350,1835
351,1838
352,1853
353,1853
354,1862
355,1858
356,1872
357,1874
358,1883
359,1896
360,1911
361,1913
362,1906
363,1935
364,1934
365,1936
366,1944
367,1948
368,1939
369,1957
370,1954
371,1954
372,1971
373,1971
374,1960
375,1970
376,1976
377,1962
378,1978
379,1960
380,1957
381,1966
382,1966
383,1960
384,1968
385,1970
386,1956
387,1972
388,1959
389,1972
390,1978
391,1967
392,1966
393,1979
394,1968
395,1979
396,1977
397,1970
398,1975
399,1964
400,1968
401,1960
402,1971
403,1970
404,1975
405,1967
406,1960
407,1974
408,1983
409,1978
410,1974
411,1982
412,1974
413,1984
414,1984
415,1992
416,1987
417,1987
418,1992
419,1987
420,1996
421,1992
422,1994
423,1992
424,2001
425,2004
426,1998
427,2005
428,2022
429,2005
430,2007
431,2012
432,2008
433,2016
434,2024
435,2005
436,2011
437,2019
438,2015
439,2014
440,1999
441,2013
442,1999
443,2024
444,1996
445,2027
446,2011
447,2010
448,2023
449,2028
450,2045
451,2051
452,2059
453,2054
454,2056
455,2047
456,2066
457,2049
458,2041
459,2013
460,2020
461,1998
462,1990
463,1992
464,1980
465,1979
466,1985
467,1980
468,1992
469,1974
470,1987
471,1981
472,1983
473,1987
474,2040
475,2083
476,2130
477,2183
478,2325
479,2423
480,2527
481,2559
482,2523
483,2368
484,2096
485,2004
486,1901
487,1858
488,1838
489,1831
490,1853
491,1845
492,1851
493,1860
494,1872
495,1891
496,1893
497,1894
498,1919
499,1917
500,1930
501,1925
502,1943
503,1952
504,1954
505,1951
506,1960
507,1962
508,1978
509,1979
510,1973
511,1978
512,1984
513,1991
514,1983
515,1999
516,1992
517,1998
518,2006
519,1999
520,2016
521,2038
522,2006
523,2017
524,2027
525,2031
526,2051
527,2044
528,2070
529,2062
530,2055
531,2056
532,2070
533,2080
534,2078
535,2077
536,2074
537,2087
538,2102
539,2091
540,2102
541,2114
542,2116
543,2128
544,2108
545,2108
546,2102
547,2096
548,2081
549,2074
550,2082
551,2059
552,2058
553,2050
554,2027
555,2009
556,1991
557,1981
558,1949
559,1932
560,1918
561,1893
562,1885
563,1894
564,1882
565,1890
566,1865
567,1868
568,1876
569,1887
570,1884
571,1888
572,1895
573,1902
574,1898
575,1906
576,1911
577,1914
578,1922
579,1918
580,1936
581,1937
582,1944
583,1955
584,1947
585,1984
586,1950
587,1972
588,1958
589,1982
590,1971
591,1974
592,1967
593,1986
594,1979
595,1986
596,1966
597,1955
598,1976
599,1972
600,1968
601,1969
602,1967
603,1998
604,1976
605,1994
606,1982
607,1987
608,1996
609,1983
610,1974
611,1991
612,1984
613,2004
614,1982
615,2009
616,1995
617,1991
618,2000
619,1991
620,1999
621,1988
622,1999
623,1979
624,2006
625,1983
626,1995
627,1986
628,2010
629,1993
630,2000
631,1994
632,2012
633,1989
634,1993
635,1986
636,1999
637,1986
638,1995
639,1995
640,1993
641,2000
642,1997
643,1995
644,1998
645,1997
646,1998
647,1990
648,1996
649,1982
650,1995
651,2003
652,1996
653,1993
654,1989
655,2008
656,2006
657,2004
658,2000
659,2012
660,2007
661,2013
662,2004
663,2010
664,2011
665,2015
666,2015
667,2016
668,2005
669,2014
670,2008
671,1998
672,2009
673,2007
674,1835
675,1956
676,1952
677,1886
678,1883
679,1876
680,1859
681,1844
682,1838
683,1823
684,1850
685,1817
686,1824
687,1835
688,1838
689,1853
690,1853
691,1862
692,1858
693,1872
694,1874
695,1883
696,1896
697,1911
698,1913
699,1906
700,1935
701,1934
702,1936
703,1944
704,1948
705,1939
706,1957
707,1954
708,1954
709,1971
710,1971
711,1960
712,1970
713,1976
714,1962
715,1978
716,1960
717,1957
718,1966
719,1966
720,1960
721,1968
722,1970
723,1956
724,1972
725,1959
726,1972
727,1978
728,1967
729,1966
730,1979
731,1968
732,1979
733,1977
734,1970
735,1975
736,1964
737,1968
738,1960
739,1971
740,1970
741,1975
742,1967
743,1960
744,1974
745,1983
746,1978
747,1974
748,1982
749,1974
750,1984
751,1984
752,1992
753,1987
754,1987
755,1992
756,1987
757,1996
758,1992
759,1994
760,1992
761,2001
762,2004
763,1998
764,2005
765,2022
766,2005
767,2007
768,2012
769,2008
770,2016
771,2024
772,2005
773,2011
774,2019
775,2015
776,2014
777,1999
778,2013
779,1999
780,2024
781,1996
782,2027
783,2011
784,2010
785,2023
786,2028
787,2045
788,2051
789,2059
790,2054
791,2056
792,2047
793,2066
794,2049
795,2041
796,2013
797,2020
798,1998
799,1990
800,1992
801,1980
802,1979
803,1985
804,1980
805,1992
806,1974
807,1987
808,1981
809,1983
810,1987
811,2040
812,2083
813,2130
814,2183
815,2325
816,2423
817,2527
818,2559
819,2523
820,2368
821,2096
822,2004
823,1901
824,1858
825,1838
826,1831
827,1853
828,1845
829,1851
830,1860
831,1872
832,1891
833,1893
834,1894
835,1919
836,1917
837,1930
838,1925
839,1943
840,1952
841,1954
842,1951
843,1960
844,1962
845,1978
846,1979
847,1973
848,1978
849,1984
850,1991
851,1983
852,1999
853,1992
854,1998
855,2006
856,1999
857,2016
858,2038
859,2006
860,2017
861,2027
862,2031
863,2051
864,2044
865,2070
866,2062
867,2055
868,2056
869,2070
870,2080
871,2078
872,2077
873,2074
874,2087
875,2102
876,2091
877,2102
878,2114
879,2116
880,2128
881,2108
882,2108
883,2102
884,2096
885,2081
886,2074
887,2082
888,2059
889,2058
890,2050
891,2027
892,2009
893,1991
894,1981
895,1949
896,1932
897,1918
898,1893
899,1885
900,1894
901,1882
902,1890
903,1865
904,1868
905,1876
906,1887
907,1884
908,1888
909,1895
910,1902
911,1898
912,1906
913,1911
914,1914
915,1922
916,1918
917,1936
918,1937
919,1944
920,1955
921,1947
922,1984
923,1950
924,1972
925,1958
926,1982
927,1971
928,1974
929,1967
930,1986
931,1979
932,1986
933,1966
934,1955
935,1976
936,1972
937,1968
938,1969
939,1967
940,1998
941,1976
942,1994
943,1982
944,1987
945,1996
946,1983
947,1974
948,1991
949,1984
950,2004
951,1982
952,2009
953,1995
954,1991
955,2000
956,1991
957,1999
958,1988
959,1999
960,1979
961,2006
962,1983
963,1995
964,1986
965,2010
966,1993
967,2000
968,1994
969,2012
970,1989
971,1993
972,1986
973,1999
974,1986
975,1995
976,1995
977,1993
978,2000
979,1997
980,1995
981,1998
982,1997
983,1998
984,1990
985,1996
986,1982
987,1995
988,2003
989,1996
990,1993
991,1989
992,2008
993,2006
994,2004
995,2000
996,2012
997,2007
998,2013
999,2004
1000,2010
1001,2011
1002,2015
1003,2015
1004,2016
1005,2005
1006,2014
1007,2008
1008,1998
1009,2009
1010,2007
1011,1835
1012,1956
1013,1952
1014,1886
1015,1883
1016,1876
1017,1859
1018,1844
1019,1838
1020,1823
1021,1850
1022,1817
1023,1824
1024,1835
1025,1838
1026,1853
1027,1853
1028,1862
1029,1858
1030,1872
1031,1874
1032,1883
1033,1896
1034,1911
1035,1913
1036,1906
1037,1935
1038,1934
1039,1936
1040,1944
1041,1948
1042,1939
1043,1957
1044,1954
1045,1954
1046,1971
1047,1971
1048,1960
1049,1970
1050,1976
1051,1962
1052,1978
1053,1960
1054,1957
1055,1966
1056,1966
1057,1960
1058,1968
1059,1970
1060,1956
1061,1972
1062,1959
1063,1972
1064,1978
1065,1967
1066,1966
1067,1979
1068,1968
1069,1979
1070,1977
1071,1970
1072,1975
1073,1964
1074,1968
1075,1960
1076,1971
1077,1970
1078,1975
1079,1967
1080,1960
1081,1974
1082,1983
1083,1978
1084,1974
1085,1982
1086,1974
1087,1984
1088,1984
1089,1992
1090,1987
1091,1987
1092,1992
1093,1987
1094,1996
1095,1992
1096,1994
1097,1992
1098,2001
1099,2004
1100,1998
1101,2005
1102,2022
1103,2005
1104,2007
1105,2012
1106,2008
1107,2016
1108,2024
1109,2005
1110,2011
1111,2019
1112,2015
1113,2014
1114,1999
1115,2013
1116,1999
1117,2024
1118,1996
1119,2027
1120,2011
1121,2010
1122,2023
1123,2028
1124,2045
1125,2051
1126,2059
1127,2054
1128,2056
1129,2047
1130,2066
1131,2049
1132,2041
1133,2013
1134,2020
1135,1998
1136,1990
1137,1992
1138,1980
1139,1979
1140,1985
1141,1980
1142,1992
1143,1974
1144,1987
1145,1981
1146,1983
1147,1987
1148,2040
1149,2083
1150,2130
1151,2183
1152,2325
1153,2423
1154,2527
1155,2559
1156,2523
1157,2368
1158,2096
1159,2004
1160,1901
1161,1858
1162,1838
1163,1831
1164,1853
1165,1845
1166,1851
1167,1860
1168,1872
